symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-04T18:32:51.789256,20,0.1141,slightly_bullish,-0.101,0.8359,mixed_signals,8,0,12
MSFT,2025-12-04T18:32:51.804172,20,0.1141,slightly_bullish,0.0357,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-04T18:32:51.815410,20,0.1141,slightly_bullish,-0.0541,0.8359,mixed_signals,8,0,12
AMZN,2025-12-04T18:32:51.826329,20,0.1141,slightly_bullish,0.0027,0.8359,positive_momentum,8,0,12
META,2025-12-04T18:32:51.837143,20,0.1141,slightly_bullish,0.1617,0.8359,positive_momentum,8,0,12
NVDA,2025-12-04T18:32:51.847929,20,0.1141,slightly_bullish,-0.0281,0.8359,mixed_signals,8,0,12
TSLA,2025-12-04T18:32:51.858981,20,0.1141,slightly_bullish,0.1023,0.8359,positive_momentum,8,0,12
JPM,2025-12-04T18:32:51.869777,20,0.1141,slightly_bullish,0.0299,0.8359,positive_momentum,8,0,12
V,2025-12-04T18:32:51.880644,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
JNJ,2025-12-04T18:32:51.891367,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
