symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-05T22:19:30.126426,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
MSFT,2025-12-05T22:19:30.138214,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-05T22:19:30.148432,20,0.1141,slightly_bullish,0.0005,0.8359,positive_momentum,8,0,12
AMZN,2025-12-05T22:19:30.158427,20,0.1141,slightly_bullish,0.0473,0.8359,positive_momentum,8,0,12
META,2025-12-05T22:19:30.168499,20,0.1141,slightly_bullish,-0.0625,0.8359,mixed_signals,8,0,12
NVDA,2025-12-05T22:19:30.178448,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
TSLA,2025-12-05T22:19:30.188376,20,0.1141,slightly_bullish,0.0027,0.8359,positive_momentum,8,0,12
JPM,2025-12-05T22:19:30.198603,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
V,2025-12-05T22:19:30.208611,20,0.1141,slightly_bullish,0.0326,0.8359,positive_momentum,8,0,12
JNJ,2025-12-05T22:19:30.218576,20,0.1141,slightly_bullish,0.013,0.8359,positive_momentum,8,0,12
