symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-03T10:24:23.028160,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
MSFT,2025-12-03T10:24:23.041325,20,0.1141,slightly_bullish,-0.1344,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-03T10:24:23.052595,20,0.1141,slightly_bullish,0.0005,0.8359,positive_momentum,8,0,12
AMZN,2025-12-03T10:24:23.063531,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
META,2025-12-03T10:24:23.074719,20,0.1141,slightly_bullish,0.0084,0.8359,positive_momentum,8,0,12
NVDA,2025-12-03T10:24:23.086133,20,0.1141,slightly_bullish,-0.0737,0.8359,mixed_signals,8,0,12
TSLA,2025-12-03T10:24:23.097291,20,0.1141,slightly_bullish,-0.0209,0.8359,mixed_signals,8,0,12
JPM,2025-12-03T10:24:23.108326,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
V,2025-12-03T10:24:23.119192,20,0.1141,slightly_bullish,-0.1617,0.8359,mixed_signals,8,0,12
JNJ,2025-12-03T10:24:23.130022,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
