symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-02T22:17:47.787429,20,0.1141,slightly_bullish,-0.1344,0.8359,mixed_signals,8,0,12
MSFT,2025-12-02T22:17:47.799861,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-02T22:17:47.810429,20,0.1141,slightly_bullish,-0.0148,0.8359,mixed_signals,8,0,12
AMZN,2025-12-02T22:17:47.820889,20,0.1141,slightly_bullish,0.0862,0.8359,positive_momentum,8,0,12
META,2025-12-02T22:17:47.831192,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
NVDA,2025-12-02T22:17:47.841423,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
TSLA,2025-12-02T22:17:47.851888,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
JPM,2025-12-02T22:17:47.862326,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
V,2025-12-02T22:17:47.873078,20,0.1141,slightly_bullish,0.0389,0.8359,positive_momentum,8,0,12
JNJ,2025-12-02T22:17:47.883949,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
