symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-05T14:21:08.787822,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
MSFT,2025-12-05T14:21:08.800221,20,0.1141,slightly_bullish,-0.0031,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-05T14:21:08.810538,20,0.1141,slightly_bullish,0.0148,0.8359,positive_momentum,8,0,12
AMZN,2025-12-05T14:21:08.820773,20,0.1141,slightly_bullish,-0.0867,0.8359,mixed_signals,8,0,12
META,2025-12-05T14:21:08.830999,20,0.1141,slightly_bullish,-0.1487,0.8359,mixed_signals,8,0,12
NVDA,2025-12-05T14:21:08.841299,20,0.1141,slightly_bullish,-0.0148,0.8359,mixed_signals,8,0,12
TSLA,2025-12-05T14:21:08.851489,20,0.1141,slightly_bullish,0.1018,0.8359,positive_momentum,8,0,12
JPM,2025-12-05T14:21:08.861565,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
V,2025-12-05T14:21:08.871769,20,0.1141,slightly_bullish,0.0112,0.8359,positive_momentum,8,0,12
JNJ,2025-12-05T14:21:08.881706,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
