symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-10T10:24:21.823020,20,0.1141,slightly_bullish,-0.1023,0.8359,mixed_signals,8,0,12
MSFT,2025-12-10T10:24:21.835761,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-10T10:24:21.846665,20,0.1141,slightly_bullish,0.0723,0.8359,positive_momentum,8,0,12
AMZN,2025-12-10T10:24:21.857475,20,0.1141,slightly_bullish,-0.0152,0.8359,mixed_signals,8,0,12
META,2025-12-10T10:24:21.868049,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
NVDA,2025-12-10T10:24:21.878898,20,0.1141,slightly_bullish,-0.0385,0.8359,mixed_signals,8,0,12
TSLA,2025-12-10T10:24:21.890538,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
JPM,2025-12-10T10:24:21.901141,20,0.1141,slightly_bullish,0.013,0.8359,positive_momentum,8,0,12
V,2025-12-10T10:24:21.911759,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
JNJ,2025-12-10T10:24:21.922282,20,0.1141,slightly_bullish,0.0008,0.8359,positive_momentum,8,0,12
