symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-01T18:33:10.272213,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
MSFT,2025-12-01T18:33:10.284132,20,0.1141,slightly_bullish,0.0005,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-01T18:33:10.293865,20,0.1141,slightly_bullish,-0.0625,0.8359,mixed_signals,8,0,12
AMZN,2025-12-01T18:33:10.303363,20,0.1141,slightly_bullish,0.1076,0.8359,positive_momentum,8,0,12
META,2025-12-01T18:33:10.312999,20,0.1141,slightly_bullish,-0.0273,0.8359,mixed_signals,8,0,12
NVDA,2025-12-01T18:33:10.322883,20,0.1141,slightly_bullish,0.0246,0.8359,positive_momentum,8,0,12
TSLA,2025-12-01T18:33:10.332527,20,0.1141,slightly_bullish,-0.1533,0.8359,mixed_signals,8,0,12
JPM,2025-12-01T18:33:10.342360,20,0.1141,slightly_bullish,0.0152,0.8359,positive_momentum,8,0,12
V,2025-12-01T18:33:10.352371,20,0.1141,slightly_bullish,0.0013,0.8359,positive_momentum,8,0,12
JNJ,2025-12-01T18:33:10.362137,20,0.1141,slightly_bullish,-0.0,0.8359,mixed_signals,8,0,12
