symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-08T14:22:21.297525,20,0.1141,slightly_bullish,0.0143,0.8359,positive_momentum,8,0,12
MSFT,2025-12-08T14:22:21.309407,20,0.1141,slightly_bullish,0.0871,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-08T14:22:21.319458,20,0.1141,slightly_bullish,0.0477,0.8359,positive_momentum,8,0,12
AMZN,2025-12-08T14:22:21.329414,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
META,2025-12-08T14:22:21.339606,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
NVDA,2025-12-08T14:22:21.349766,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
TSLA,2025-12-08T14:22:21.359919,20,0.1141,slightly_bullish,0.1014,0.8359,positive_momentum,8,0,12
JPM,2025-12-08T14:22:21.369903,20,0.1141,slightly_bullish,-0.1076,0.8359,mixed_signals,8,0,12
V,2025-12-08T14:22:21.380185,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
JNJ,2025-12-08T14:22:21.390252,20,0.1141,slightly_bullish,-0.0598,0.8359,mixed_signals,8,0,12
