symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-09T22:20:24.769245,20,0.1141,slightly_bullish,-0.1219,0.8359,mixed_signals,8,0,12
MSFT,2025-12-09T22:20:24.782886,20,0.1141,slightly_bullish,-0.0867,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-09T22:20:24.793894,20,0.1141,slightly_bullish,0.0862,0.8359,positive_momentum,8,0,12
AMZN,2025-12-09T22:20:24.805009,20,0.1141,slightly_bullish,-0.1139,0.8359,mixed_signals,8,0,12
META,2025-12-09T22:20:24.816090,20,0.1141,slightly_bullish,-0.1135,0.8359,mixed_signals,8,0,12
NVDA,2025-12-09T22:20:24.827884,20,0.1141,slightly_bullish,0.0477,0.8359,positive_momentum,8,0,12
TSLA,2025-12-09T22:20:24.839808,20,0.1141,slightly_bullish,-0.0996,0.8359,mixed_signals,8,0,12
JPM,2025-12-09T22:20:24.852286,20,0.1141,slightly_bullish,0.1219,0.8359,positive_momentum,8,0,12
V,2025-12-09T22:20:24.863563,20,0.1141,slightly_bullish,-0.0745,0.8359,mixed_signals,8,0,12
JNJ,2025-12-09T22:20:24.874757,20,0.1141,slightly_bullish,-0.0209,0.8359,mixed_signals,8,0,12
