symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-02T14:22:14.067746,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
MSFT,2025-12-02T14:22:14.079262,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-02T14:22:14.089221,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
AMZN,2025-12-02T14:22:14.099311,20,0.1141,slightly_bullish,0.0008,0.8359,positive_momentum,8,0,12
META,2025-12-02T14:22:14.109417,20,0.1141,slightly_bullish,0.1023,0.8359,positive_momentum,8,0,12
NVDA,2025-12-02T14:22:14.119437,20,0.1141,slightly_bullish,-0.1023,0.8359,mixed_signals,8,0,12
TSLA,2025-12-02T14:22:14.129528,20,0.1141,slightly_bullish,-0.0602,0.8359,mixed_signals,8,0,12
JPM,2025-12-02T14:22:14.140363,20,0.1141,slightly_bullish,0.0398,0.8359,positive_momentum,8,0,12
V,2025-12-02T14:22:14.150632,20,0.1141,slightly_bullish,0.0951,0.8359,positive_momentum,8,0,12
JNJ,2025-12-02T14:22:14.160617,20,0.1141,slightly_bullish,0.0242,0.8359,positive_momentum,8,0,12
