symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-01T22:18:09.063774,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
MSFT,2025-12-01T22:18:09.076820,20,0.1141,slightly_bullish,0.0533,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-01T22:18:09.088239,20,0.1141,slightly_bullish,-0.0746,0.8359,mixed_signals,8,0,12
AMZN,2025-12-01T22:18:09.099759,20,0.1141,slightly_bullish,-0.0666,0.8359,mixed_signals,8,0,12
META,2025-12-01T22:18:09.110971,20,0.1141,slightly_bullish,0.0416,0.8359,positive_momentum,8,0,12
NVDA,2025-12-01T22:18:09.121683,20,0.1141,slightly_bullish,-0.0594,0.8359,mixed_signals,8,0,12
TSLA,2025-12-01T22:18:09.132711,20,0.1141,slightly_bullish,0.0326,0.8359,positive_momentum,8,0,12
JPM,2025-12-01T22:18:09.143455,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
V,2025-12-01T22:18:09.154977,20,0.1141,slightly_bullish,-0.0625,0.8359,mixed_signals,8,0,12
JNJ,2025-12-01T22:18:09.165474,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
