symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-04T10:24:46.815896,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
MSFT,2025-12-04T10:24:46.828298,20,0.1141,slightly_bullish,0.012,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-04T10:24:46.838999,20,0.1141,slightly_bullish,-0.0893,0.8359,mixed_signals,8,0,12
AMZN,2025-12-04T10:24:46.849437,20,0.1141,slightly_bullish,-0.1889,0.8359,mixed_signals,8,0,12
META,2025-12-04T10:24:46.860318,20,0.1141,slightly_bullish,0.0242,0.8359,positive_momentum,8,0,12
NVDA,2025-12-04T10:24:46.870988,20,0.1141,slightly_bullish,0.176,0.8359,positive_momentum,8,0,12
TSLA,2025-12-04T10:24:46.882387,20,0.1141,slightly_bullish,-0.0992,0.8359,mixed_signals,8,0,12
JPM,2025-12-04T10:24:46.893073,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
V,2025-12-04T10:24:46.903716,20,0.1141,slightly_bullish,-0.0893,0.8359,mixed_signals,8,0,12
JNJ,2025-12-04T10:24:46.914318,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
