symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-04T14:21:40.005721,20,0.1141,slightly_bullish,-0.013,0.8359,mixed_signals,8,0,12
MSFT,2025-12-04T14:21:40.017270,20,0.1141,slightly_bullish,-0.0326,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-04T14:21:40.027165,20,0.1141,slightly_bullish,0.0027,0.8359,positive_momentum,8,0,12
AMZN,2025-12-04T14:21:40.037229,20,0.1141,slightly_bullish,0.0469,0.8359,positive_momentum,8,0,12
META,2025-12-04T14:21:40.047299,20,0.1141,slightly_bullish,0.0004,0.8359,positive_momentum,8,0,12
NVDA,2025-12-04T14:21:40.057356,20,0.1141,slightly_bullish,0.0871,0.8359,positive_momentum,8,0,12
TSLA,2025-12-04T14:21:40.067354,20,0.1141,slightly_bullish,-0.0755,0.8359,mixed_signals,8,0,12
JPM,2025-12-04T14:21:40.077308,20,0.1141,slightly_bullish,0.0992,0.8359,positive_momentum,8,0,12
V,2025-12-04T14:21:40.087203,20,0.1141,slightly_bullish,0.101,0.8359,positive_momentum,8,0,12
JNJ,2025-12-04T14:21:40.096976,20,0.1141,slightly_bullish,0.0737,0.8359,positive_momentum,8,0,12
