symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-02T18:31:59.183734,20,0.1141,slightly_bullish,0.0625,0.8359,positive_momentum,8,0,12
MSFT,2025-12-02T18:31:59.196616,20,0.1141,slightly_bullish,0.0393,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-02T18:31:59.207865,20,0.1141,slightly_bullish,-0.0242,0.8359,mixed_signals,8,0,12
AMZN,2025-12-02T18:31:59.218789,20,0.1141,slightly_bullish,0.0398,0.8359,positive_momentum,8,0,12
META,2025-12-02T18:31:59.229732,20,0.1141,slightly_bullish,0.075,0.8359,positive_momentum,8,0,12
NVDA,2025-12-02T18:31:59.240631,20,0.1141,slightly_bullish,-0.0867,0.8359,mixed_signals,8,0,12
TSLA,2025-12-02T18:31:59.251451,20,0.1141,slightly_bullish,-0.026,0.8359,mixed_signals,8,0,12
JPM,2025-12-02T18:31:59.262115,20,0.1141,slightly_bullish,-0.0,0.8359,mixed_signals,8,0,12
V,2025-12-02T18:31:59.273165,20,0.1141,slightly_bullish,-0.0008,0.8359,mixed_signals,8,0,12
JNJ,2025-12-02T18:31:59.284157,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
