symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-08T22:19:41.906504,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
MSFT,2025-12-08T22:19:41.918032,20,0.1141,slightly_bullish,-0.1473,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-08T22:19:41.927922,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
AMZN,2025-12-08T22:19:41.937909,20,0.1141,slightly_bullish,-0.0473,0.8359,mixed_signals,8,0,12
META,2025-12-08T22:19:41.948118,20,0.1141,slightly_bullish,-0.0416,0.8359,mixed_signals,8,0,12
NVDA,2025-12-08T22:19:41.958251,20,0.1141,slightly_bullish,0.0625,0.8359,positive_momentum,8,0,12
TSLA,2025-12-08T22:19:41.968526,20,0.1141,slightly_bullish,0.0156,0.8359,positive_momentum,8,0,12
JPM,2025-12-08T22:19:41.978498,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
V,2025-12-08T22:19:41.990564,20,0.1141,slightly_bullish,-0.012,0.8359,mixed_signals,8,0,12
JNJ,2025-12-08T22:19:42.005416,20,0.1141,slightly_bullish,-0.0357,0.8359,mixed_signals,8,0,12
