symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-04T22:17:43.236267,20,0.1141,slightly_bullish,-0.0719,0.8359,mixed_signals,8,0,12
MSFT,2025-12-04T22:17:43.248632,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-04T22:17:43.258927,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
AMZN,2025-12-04T22:17:43.269024,20,0.1141,slightly_bullish,-0.1889,0.8359,mixed_signals,8,0,12
META,2025-12-04T22:17:43.279869,20,0.1141,slightly_bullish,-0.0862,0.8359,mixed_signals,8,0,12
NVDA,2025-12-04T22:17:43.290189,20,0.1141,slightly_bullish,0.063,0.8359,positive_momentum,8,0,12
TSLA,2025-12-04T22:17:43.300637,20,0.1141,slightly_bullish,-0.0393,0.8359,mixed_signals,8,0,12
JPM,2025-12-04T22:17:43.311694,20,0.1141,slightly_bullish,-0.0477,0.8359,mixed_signals,8,0,12
V,2025-12-04T22:17:43.322366,20,0.1141,slightly_bullish,-0.0594,0.8359,mixed_signals,8,0,12
JNJ,2025-12-04T22:17:43.332941,20,0.1141,slightly_bullish,0.1023,0.8359,positive_momentum,8,0,12
