symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-10T18:33:20.123396,20,0.1141,slightly_bullish,-0.0152,0.8359,mixed_signals,8,0,12
MSFT,2025-12-10T18:33:20.136743,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-10T18:33:20.148067,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
AMZN,2025-12-10T18:33:20.158885,20,0.1141,slightly_bullish,-0.062,0.8359,mixed_signals,8,0,12
META,2025-12-10T18:33:20.169714,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
NVDA,2025-12-10T18:33:20.180541,20,0.1141,slightly_bullish,0.0209,0.8359,positive_momentum,8,0,12
TSLA,2025-12-10T18:33:20.191629,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
JPM,2025-12-10T18:33:20.202661,20,0.1141,slightly_bullish,0.0385,0.8359,positive_momentum,8,0,12
V,2025-12-10T18:33:20.213789,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
JNJ,2025-12-10T18:33:20.224687,20,0.1141,slightly_bullish,-0.0277,0.8359,mixed_signals,8,0,12
