symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-03T22:20:30.042934,20,0.1141,slightly_bullish,-0.0893,0.8359,mixed_signals,8,0,12
MSFT,2025-12-03T22:20:30.055384,20,0.1141,slightly_bullish,-0.0352,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-03T22:20:30.066035,20,0.1141,slightly_bullish,0.0027,0.8359,positive_momentum,8,0,12
AMZN,2025-12-03T22:20:30.076409,20,0.1141,slightly_bullish,-0.0148,0.8359,mixed_signals,8,0,12
META,2025-12-03T22:20:30.086549,20,0.1141,slightly_bullish,0.0005,0.8359,positive_momentum,8,0,12
NVDA,2025-12-03T22:20:30.096879,20,0.1141,slightly_bullish,-0.0607,0.8359,mixed_signals,8,0,12
TSLA,2025-12-03T22:20:30.107127,20,0.1141,slightly_bullish,0.0746,0.8359,positive_momentum,8,0,12
JPM,2025-12-03T22:20:30.117387,20,0.1141,slightly_bullish,0.0148,0.8359,positive_momentum,8,0,12
V,2025-12-03T22:20:30.127683,20,0.1141,slightly_bullish,0.0357,0.8359,positive_momentum,8,0,12
JNJ,2025-12-03T22:20:30.137886,20,0.1141,slightly_bullish,-0.1492,0.8359,mixed_signals,8,0,12
