symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-08T18:31:18.512732,20,0.1141,slightly_bullish,-0.0755,0.8359,mixed_signals,8,0,12
MSFT,2025-12-08T18:31:18.524959,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-08T18:31:18.535628,20,0.1141,slightly_bullish,0.0117,0.8359,positive_momentum,8,0,12
AMZN,2025-12-08T18:31:18.546015,20,0.1141,slightly_bullish,-0.101,0.8359,mixed_signals,8,0,12
META,2025-12-08T18:31:18.556565,20,0.1141,slightly_bullish,0.0451,0.8359,positive_momentum,8,0,12
NVDA,2025-12-08T18:31:18.567006,20,0.1141,slightly_bullish,-0.0273,0.8359,mixed_signals,8,0,12
TSLA,2025-12-08T18:31:18.577648,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
JPM,2025-12-08T18:31:18.588335,20,0.1141,slightly_bullish,-0.0477,0.8359,mixed_signals,8,0,12
V,2025-12-08T18:31:18.598933,20,0.1141,slightly_bullish,0.0326,0.8359,positive_momentum,8,0,12
JNJ,2025-12-08T18:31:18.609476,20,0.1141,slightly_bullish,-0.013,0.8359,mixed_signals,8,0,12
