symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-01T14:22:04.061352,20,0.1141,slightly_bullish,-0.0156,0.8359,mixed_signals,8,0,12
MSFT,2025-12-01T14:22:04.073668,20,0.1141,slightly_bullish,-0.0893,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-01T14:22:04.084108,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
AMZN,2025-12-01T14:22:04.094231,20,0.1141,slightly_bullish,-0.0598,0.8359,mixed_signals,8,0,12
META,2025-12-01T14:22:04.104437,20,0.1141,slightly_bullish,-0.1348,0.8359,mixed_signals,8,0,12
NVDA,2025-12-01T14:22:04.114976,20,0.1141,slightly_bullish,-0.0393,0.8359,mixed_signals,8,0,12
TSLA,2025-12-01T14:22:04.125010,20,0.1141,slightly_bullish,0.0201,0.8359,positive_momentum,8,0,12
JPM,2025-12-01T14:22:04.135832,20,0.1141,slightly_bullish,0.0893,0.8359,positive_momentum,8,0,12
V,2025-12-01T14:22:04.146057,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
JNJ,2025-12-01T14:22:04.156233,20,0.1141,slightly_bullish,-0.0533,0.8359,mixed_signals,8,0,12
