symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-05T18:27:32.761851,20,0.1141,slightly_bullish,-0.0398,0.8359,mixed_signals,8,0,12
MSFT,2025-12-05T18:27:32.774507,20,0.1141,slightly_bullish,-0.1746,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-05T18:27:32.785384,20,0.1141,slightly_bullish,-0.1889,0.8359,mixed_signals,8,0,12
AMZN,2025-12-05T18:27:32.795922,20,0.1141,slightly_bullish,-0.0273,0.8359,mixed_signals,8,0,12
META,2025-12-05T18:27:32.806650,20,0.1141,slightly_bullish,-0.013,0.8359,mixed_signals,8,0,12
NVDA,2025-12-05T18:27:32.817383,20,0.1141,slightly_bullish,0.0871,0.8359,positive_momentum,8,0,12
TSLA,2025-12-05T18:27:32.828001,20,0.1141,slightly_bullish,-0.013,0.8359,mixed_signals,8,0,12
JPM,2025-12-05T18:27:32.838622,20,0.1141,slightly_bullish,0.1018,0.8359,positive_momentum,8,0,12
V,2025-12-05T18:27:32.849427,20,0.1141,slightly_bullish,-0.0156,0.8359,mixed_signals,8,0,12
JNJ,2025-12-05T18:27:32.860095,20,0.1141,slightly_bullish,-0.0867,0.8359,mixed_signals,8,0,12
