symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-11-28T18:28:02.676337,20,0.1141,slightly_bullish,-0.0737,0.8359,mixed_signals,8,0,12
MSFT,2025-11-28T18:28:02.688667,20,0.1141,slightly_bullish,-0.0,0.8359,mixed_signals,8,0,12
GOOGL,2025-11-28T18:28:02.699040,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
AMZN,2025-11-28T18:28:02.710135,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
META,2025-11-28T18:28:02.720765,20,0.1141,slightly_bullish,-0.0893,0.8359,mixed_signals,8,0,12
NVDA,2025-11-28T18:28:02.731945,20,0.1141,slightly_bullish,0.0473,0.8359,positive_momentum,8,0,12
TSLA,2025-11-28T18:28:02.742870,20,0.1141,slightly_bullish,0.0469,0.8359,positive_momentum,8,0,12
JPM,2025-11-28T18:28:02.753238,20,0.1141,slightly_bullish,0.1018,0.8359,positive_momentum,8,0,12
V,2025-11-28T18:28:02.763617,20,0.1141,slightly_bullish,-0.0281,0.8359,mixed_signals,8,0,12
JNJ,2025-11-28T18:28:02.773717,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
