symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-03T18:32:29.972161,20,0.1141,slightly_bullish,-0.0117,0.8359,mixed_signals,8,0,12
MSFT,2025-12-03T18:32:29.986062,20,0.1141,slightly_bullish,-0.0242,0.8359,mixed_signals,8,0,12
GOOGL,2025-12-03T18:32:29.997854,20,0.1141,slightly_bullish,0.0607,0.8359,positive_momentum,8,0,12
AMZN,2025-12-03T18:32:30.009089,20,0.1141,slightly_bullish,0.0951,0.8359,positive_momentum,8,0,12
META,2025-12-03T18:32:30.020399,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
NVDA,2025-12-03T18:32:30.031743,20,0.1141,slightly_bullish,-0.0273,0.8359,mixed_signals,8,0,12
TSLA,2025-12-03T18:32:30.042878,20,0.1141,slightly_bullish,0.1617,0.8359,positive_momentum,8,0,12
JPM,2025-12-03T18:32:30.054224,20,0.1141,slightly_bullish,-0.0201,0.8359,mixed_signals,8,0,12
V,2025-12-03T18:32:30.065472,20,0.1141,slightly_bullish,0.0152,0.8359,positive_momentum,8,0,12
JNJ,2025-12-03T18:32:30.076339,20,0.1141,slightly_bullish,-0.0625,0.8359,mixed_signals,8,0,12
