symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-11-28T22:18:27.639330,20,0.1141,slightly_bullish,-0.101,0.8359,mixed_signals,8,0,12
MSFT,2025-11-28T22:18:27.652491,20,0.1141,slightly_bullish,0.0625,0.8359,positive_momentum,8,0,12
GOOGL,2025-11-28T22:18:27.663828,20,0.1141,slightly_bullish,0.0246,0.8359,positive_momentum,8,0,12
AMZN,2025-11-28T22:18:27.674371,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
META,2025-11-28T22:18:27.684696,20,0.1141,slightly_bullish,-0.0148,0.8359,mixed_signals,8,0,12
NVDA,2025-11-28T22:18:27.695063,20,0.1141,slightly_bullish,-0.0148,0.8359,mixed_signals,8,0,12
TSLA,2025-11-28T22:18:27.705767,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
JPM,2025-11-28T22:18:27.716268,20,0.1141,slightly_bullish,-0.1348,0.8359,mixed_signals,8,0,12
V,2025-11-28T22:18:27.726925,20,0.1141,slightly_bullish,0.1492,0.8359,positive_momentum,8,0,12
JNJ,2025-11-28T22:18:27.737563,20,0.1141,slightly_bullish,0.013,0.8359,positive_momentum,8,0,12
