symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2025-12-09T14:22:38.752613,20,0.1141,slightly_bullish,-0.0451,0.8359,mixed_signals,8,0,12
MSFT,2025-12-09T14:22:38.765496,20,0.1141,slightly_bullish,0.0625,0.8359,positive_momentum,8,0,12
GOOGL,2025-12-09T14:22:38.776007,20,0.1141,slightly_bullish,0.0148,0.8359,positive_momentum,8,0,12
AMZN,2025-12-09T14:22:38.786536,20,0.1141,slightly_bullish,0.0742,0.8359,positive_momentum,8,0,12
META,2025-12-09T14:22:38.796661,20,0.1141,slightly_bullish,-0.0357,0.8359,mixed_signals,8,0,12
NVDA,2025-12-09T14:22:38.806765,20,0.1141,slightly_bullish,-0.0541,0.8359,mixed_signals,8,0,12
TSLA,2025-12-09T14:22:38.816851,20,0.1141,slightly_bullish,0.0996,0.8359,positive_momentum,8,0,12
JPM,2025-12-09T14:22:38.826953,20,0.1141,slightly_bullish,-0.0326,0.8359,mixed_signals,8,0,12
V,2025-12-09T14:22:38.836999,20,0.1141,slightly_bullish,0.0117,0.8359,positive_momentum,8,0,12
JNJ,2025-12-09T14:22:38.847033,20,0.1141,slightly_bullish,-0.0987,0.8359,mixed_signals,8,0,12
